pricingID;name;regionCategory;date;price;timestamp;createdAt;updatedAt;grouping;providerID
26;t4g.xlarge-general-purpose;AWS-us-west-2;2023-09-02 02:00:00+02;0.1192;2023-10-30 19:55:12.063+01;2023-10-30 19:55:12.063+01;2023-10-30 19:55:12.063+01;GP1;AWS
27;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-09-02 02:00:00+02;0.1242;2023-10-30 19:55:12.069+01;2023-10-30 19:55:12.069+01;2023-10-30 19:55:12.069+01;CO1;AWS
28;t4g.xlarge-general-purpose;AWS-us-west-1;2023-09-02 02:00:00+02;0.0554;2023-10-31 17:36:17.771+01;2023-10-31 17:36:17.771+01;2023-10-31 17:36:17.771+01;GP1;AWS
29;c6a.xlarge-compute-optimized;AWS-us-west-1;2023-09-02 02:00:00+02;0.0786;2023-10-31 17:36:18.422+01;2023-10-31 17:36:18.422+01;2023-10-31 17:36:18.422+01;CO1;AWS
30;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-09-03 02:00:00+02;0.0641;2023-10-30 19:55:09.694+01;2023-10-30 19:55:09.695+01;2023-10-30 19:55:09.695+01;GP1;AWS
31;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-09-03 02:00:00+02;0.1054;2023-10-30 19:55:09.946+01;2023-10-30 19:55:09.946+01;2023-10-30 19:55:09.946+01;CO1;AWS
32;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-09-03 02:00:00+02;0.0319;2023-10-30 19:55:10.707+01;2023-10-30 19:55:10.707+01;2023-10-30 19:55:10.707+01;GP1;AWS
33;c6a.xlarge-compute-optimized;AWS-ap-south-1;2023-09-03 02:00:00+02;0.0765;2023-10-30 19:55:10.895+01;2023-10-30 19:55:10.895+01;2023-10-30 19:55:10.895+01;CO1;AWS
34;c6a.xlarge-compute-optimized;AWS-us-east-1;2023-09-03 02:00:00+02;0.1254;2023-10-30 19:55:11.476+01;2023-10-30 19:55:11.476+01;2023-10-30 19:55:11.476+01;CO1;AWS
35;t4g.xlarge-general-purpose;AWS-us-east-1;2023-09-03 02:00:00+02;0.1342;2023-10-30 19:55:11.587+01;2023-10-30 19:55:11.587+01;2023-10-30 19:55:11.587+01;GP1;AWS
36;t4g.xlarge-general-purpose;AWS-us-west-2;2023-09-03 02:00:00+02;0.1193;2023-10-30 19:55:12.063+01;2023-10-30 19:55:12.063+01;2023-10-30 19:55:12.063+01;GP1;AWS
37;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-09-03 02:00:00+02;0.1237;2023-10-30 19:55:12.068+01;2023-10-30 19:55:12.068+01;2023-10-30 19:55:12.068+01;CO1;AWS
38;t4g.xlarge-general-purpose;AWS-us-west-1;2023-09-03 02:00:00+02;0.0556;2023-10-31 17:36:17.77+01;2023-10-31 17:36:17.77+01;2023-10-31 17:36:17.77+01;GP1;AWS
39;c6a.xlarge-compute-optimized;AWS-us-west-1;2023-09-03 02:00:00+02;0.0794;2023-10-31 17:36:18.421+01;2023-10-31 17:36:18.421+01;2023-10-31 17:36:18.421+01;CO1;AWS
40;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-09-04 02:00:00+02;0.0621;2023-10-30 19:55:09.693+01;2023-10-30 19:55:09.693+01;2023-10-30 19:55:09.693+01;GP1;AWS
41;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-09-04 02:00:00+02;0.1089;2023-10-30 19:55:09.945+01;2023-10-30 19:55:09.945+01;2023-10-30 19:55:09.945+01;CO1;AWS
42;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-09-04 02:00:00+02;0.0318;2023-10-30 19:55:10.706+01;2023-10-30 19:55:10.706+01;2023-10-30 19:55:10.706+01;GP1;AWS
43;c6a.xlarge-compute-optimized;AWS-ap-south-1;2023-09-04 02:00:00+02;0.0770;2023-10-30 19:55:10.894+01;2023-10-30 19:55:10.894+01;2023-10-30 19:55:10.894+01;CO1;AWS
44;c6a.xlarge-compute-optimized;AWS-us-east-1;2023-09-04 02:00:00+02;0.1259;2023-10-30 19:55:11.475+01;2023-10-30 19:55:11.475+01;2023-10-30 19:55:11.475+01;CO1;AWS
45;t4g.xlarge-general-purpose;AWS-us-east-1;2023-09-04 02:00:00+02;0.1343;2023-10-30 19:55:11.586+01;2023-10-30 19:55:11.586+01;2023-10-30 19:55:11.586+01;GP1;AWS
46;t4g.xlarge-general-purpose;AWS-us-west-2;2023-09-04 02:00:00+02;0.1198;2023-10-30 19:55:12.062+01;2023-10-30 19:55:12.062+01;2023-10-30 19:55:12.062+01;GP1;AWS
47;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-09-04 02:00:00+02;0.1233;2023-10-30 19:55:12.068+01;2023-10-30 19:55:12.068+01;2023-10-30 19:55:12.068+01;CO1;AWS
48;t4g.xlarge-general-purpose;AWS-us-west-1;2023-09-04 02:00:00+02;0.0548;2023-10-31 17:36:17.769+01;2023-10-31 17:36:17.769+01;2023-10-31 17:36:17.769+01;GP1;AWS
49;c6a.xlarge-compute-optimized;AWS-us-west-1;2023-09-04 02:00:00+02;0.0779;2023-10-31 17:36:18.42+01;2023-10-31 17:36:18.42+01;2023-10-31 17:36:18.42+01;CO1;AWS
50;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-09-05 02:00:00+02;0.0624;2023-10-30 19:55:09.692+01;2023-10-30 19:55:09.693+01;2023-10-30 19:55:09.693+01;GP1;AWS
51;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-09-05 02:00:00+02;0.1084;2023-10-30 19:55:09.944+01;2023-10-30 19:55:09.944+01;2023-10-30 19:55:09.944+01;CO1;AWS
52;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-09-05 02:00:00+02;0.0316;2023-10-30 19:55:10.705+01;2023-10-30 19:55:10.705+01;2023-10-30 19:55:10.705+01;GP1;AWS
53;c6a.xlarge-compute-optimized;AWS-ap-south-1;2023-09-05 02:00:00+02;0.0743;2023-10-30 19:55:10.893+01;2023-10-30 19:55:10.893+01;2023-10-30 19:55:10.893+01;CO1;AWS
54;c6a.xlarge-compute-optimized;AWS-us-east-1;2023-09-05 02:00:00+02;0.1256;2023-10-30 19:55:11.474+01;2023-10-30 19:55:11.474+01;2023-10-30 19:55:11.474+01;CO1;AWS
55;t4g.xlarge-general-purpose;AWS-us-east-1;2023-09-05 02:00:00+02;0.1342;2023-10-30 19:55:11.585+01;2023-10-30 19:55:11.585+01;2023-10-30 19:55:11.585+01;GP1;AWS
56;t4g.xlarge-general-purpose;AWS-us-west-2;2023-09-05 02:00:00+02;0.1197;2023-10-30 19:55:12.06+01;2023-10-30 19:55:12.06+01;2023-10-30 19:55:12.06+01;GP1;AWS
57;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-09-05 02:00:00+02;0.1227;2023-10-30 19:55:12.067+01;2023-10-30 19:55:12.067+01;2023-10-30 19:55:12.067+01;CO1;AWS
58;t4g.xlarge-general-purpose;AWS-us-west-1;2023-09-05 02:00:00+02;0.0544;2023-10-31 17:36:17.768+01;2023-10-31 17:36:17.768+01;2023-10-31 17:36:17.768+01;GP1;AWS
59;c6a.xlarge-compute-optimized;AWS-us-west-1;2023-09-05 02:00:00+02;0.0776;2023-10-31 17:36:18.419+01;2023-10-31 17:36:18.419+01;2023-10-31 17:36:18.419+01;CO1;AWS
60;t4g.xlarge-general-purpose;AWS-eu-central-1;2023-09-06 02:00:00+02;0.0618;2023-10-30 19:55:09.691+01;2023-10-30 19:55:09.691+01;2023-10-30 19:55:09.691+01;GP1;AWS
61;c6a.xlarge-compute-optimized;AWS-eu-central-1;2023-09-06 02:00:00+02;0.1068;2023-10-30 19:55:09.943+01;2023-10-30 19:55:09.943+01;2023-10-30 19:55:09.943+01;CO1;AWS
62;t4g.xlarge-general-purpose;AWS-ap-south-1;2023-09-06 02:00:00+02;0.0317;2023-10-30 19:55:10.704+01;2023-10-30 19:55:10.704+01;2023-10-30 19:55:10.704+01;GP1;AWS
63;c6a.xlarge-compute-optimized;AWS-ap-south-1;2023-09-06 02:00:00+02;0.0742;2023-10-30 19:55:10.893+01;2023-10-30 19:55:10.893+01;2023-10-30 19:55:10.893+01;CO1;AWS
64;c6a.xlarge-compute-optimized;AWS-us-east-1;2023-09-06 02:00:00+02;0.1259;2023-10-30 19:55:11.473+01;2023-10-30 19:55:11.473+01;2023-10-30 19:55:11.473+01;CO1;AWS
65;t4g.xlarge-general-purpose;AWS-us-east-1;2023-09-06 02:00:00+02;0.1344;2023-10-30 19:55:11.585+01;2023-10-30 19:55:11.585+01;2023-10-30 19:55:11.585+01;GP1;AWS
66;t4g.xlarge-general-purpose;AWS-us-west-2;2023-09-06 02:00:00+02;0.1203;2023-10-30 19:55:12.059+01;2023-10-30 19:55:12.059+01;2023-10-30 19:55:12.059+01;GP1;AWS
67;c6a.xlarge-compute-optimized;AWS-us-west-2;2023-09-06 02:00:00+02;0.1228;2023-10-30 19:55:12.066+01;2023-10-30 19:55:12.066+01;2023-10-30 19:55:12.066+01;CO1;AWS
68;t4g.xlarge-general-purpose;AWS-us-west-1;2023-09-06 02:00:00+02;0.0545;2023-10-31 17:36:17.767+01;2023-10-31 17:36:17.767+01;2023-10-31 17:36:17.767+01;GP1;AWS
69;c6a.xlarge-compute-optimized;AWS-us-west-1;2023-09-06 02:00:00+02;0.0790;2023-10-31 17:36:18.417+01;2023-10-31 17:36:18.417+01;2023-10-31 17:36:18.417+01;CO1;AWS
